Date_Time,Dp>0.3
2020-08-08 11:11:00,0
2020-08-08 11:11:10,0
2020-08-08 11:11:20,0
2020-08-08 11:11:30,0
2020-08-08 11:11:40,0
2020-08-08 11:11:50,0
2020-08-08 11:12:00,0
2020-08-08 11:12:10,0
2020-08-08 11:12:20,0
2020-08-08 11:12:30,0
2020-08-08 11:12:40,0
2020-08-08 11:12:50,0
2020-08-08 11:13:00,0
2020-08-08 11:13:10,0
2020-08-08 11:13:20,0
2020-08-08 11:13:30,0
2020-08-08 11:13:40,0
2020-08-08 11:13:50,0
2020-08-08 11:14:00,0
2020-08-08 11:14:10,0
2020-08-08 11:14:20,0
2020-08-08 11:14:30,0
2020-08-08 11:14:40,0
2020-08-08 11:14:50,0
2020-08-08 11:15:00,0
2020-08-08 11:15:10,0
2020-08-08 11:15:20,0
2020-08-08 11:15:30,0
2020-08-08 11:15:40,0
2020-08-08 11:15:50,0
2020-08-08 11:16:00,9
2020-08-08 11:16:10,9
2020-08-08 11:16:20,0
2020-08-08 11:16:30,0
2020-08-08 11:16:40,0
2020-08-08 11:16:50,0
2020-08-08 11:17:00,0
2020-08-08 11:17:10,0
2020-08-08 11:17:20,0
2020-08-08 11:17:30,0
2020-08-08 11:17:40,0
2020-08-08 11:17:50,0
2020-08-08 11:18:00,0
2020-08-08 11:18:10,0
2020-08-08 11:18:20,0
2020-08-08 11:18:30,0
2020-08-08 11:18:40,0
2020-08-08 11:18:50,0
2020-08-08 11:19:00,0
2020-08-08 11:19:10,0
2020-08-08 11:19:20,0
2020-08-08 11:19:30,0
2020-08-08 11:19:40,0
2020-08-08 11:19:50,0
2020-08-08 11:20:00,0
2020-08-08 11:20:10,0
2020-08-08 11:20:20,0
2020-08-08 11:20:30,0
2020-08-08 11:20:40,0
2020-08-08 11:20:50,0
2020-08-08 11:21:00,0
2020-08-08 11:21:10,0
2020-08-08 11:21:20,0
2020-08-08 11:21:30,0
2020-08-08 11:21:40,0
2020-08-08 11:21:50,0
2020-08-08 11:22:00,0
2020-08-08 11:22:10,0
2020-08-08 11:22:20,0
2020-08-08 11:22:30,0
2020-08-08 11:22:40,0
2020-08-08 11:22:50,0
2020-08-08 11:23:00,0
2020-08-08 11:23:10,0
2020-08-08 11:23:20,0
2020-08-08 11:23:30,0
2020-08-08 11:23:40,0
2020-08-08 11:23:50,0
2020-08-08 11:24:00,0
2020-08-08 11:24:10,0
2020-08-08 11:24:20,0
2020-08-08 11:24:30,0
2020-08-08 11:24:40,0
2020-08-08 11:24:50,0
2020-08-08 11:25:00,0
2020-08-08 11:25:10,0
2020-08-08 11:25:20,0
2020-08-08 11:25:30,0
2020-08-08 11:25:40,9
2020-08-08 11:25:50,9
2020-08-08 11:26:00,0
2020-08-08 11:26:10,0
2020-08-08 11:26:20,0
2020-08-08 11:26:30,0
2020-08-08 11:26:40,0
2020-08-08 11:26:50,0
2020-08-08 11:27:00,0
2020-08-08 11:27:10,0
2020-08-08 11:27:20,0
2020-08-08 11:27:30,0
2020-08-08 11:27:40,0
2020-08-08 11:27:50,0
2020-08-08 11:28:00,0
2020-08-08 11:28:10,0
2020-08-08 11:28:20,0
2020-08-08 11:28:30,0
2020-08-08 11:28:40,0
2020-08-08 11:28:50,0
2020-08-08 11:29:00,0
2020-08-08 11:29:10,0
2020-08-08 11:29:20,0
2020-08-08 11:29:30,0
2020-08-08 11:29:40,0
2020-08-08 11:29:50,0
2020-08-08 11:30:00,0
2020-08-08 11:30:10,0
2020-08-08 11:30:20,0
2020-08-08 11:30:30,0
2020-08-08 11:30:40,0
2020-08-08 11:30:50,0
2020-08-08 11:31:00,0
2020-08-08 11:31:10,0
2020-08-08 11:31:20,0
2020-08-08 11:31:30,0
2020-08-08 11:31:40,0
2020-08-08 11:31:50,0
2020-08-08 11:32:00,0
2020-08-08 11:32:10,0
2020-08-08 11:32:20,0
2020-08-08 11:32:30,9
2020-08-08 11:32:40,9
2020-08-08 11:32:50,0
2020-08-08 11:33:00,0
2020-08-08 11:33:10,0
2020-08-08 11:33:20,0
2020-08-08 11:33:30,0
2020-08-08 11:33:40,0
2020-08-08 11:33:50,0
2020-08-08 11:34:00,0
2020-08-08 11:34:10,0
2020-08-08 11:34:20,0
2020-08-08 11:34:30,0
2020-08-08 11:34:40,0
2020-08-08 11:34:50,0
2020-08-08 11:35:00,0
2020-08-08 11:35:10,0
2020-08-08 11:35:20,0
2020-08-08 11:35:30,0
2020-08-08 11:35:40,0
2020-08-08 11:35:50,0
2020-08-08 11:36:00,0
2020-08-08 11:36:10,0
2020-08-08 11:36:20,0
2020-08-08 11:36:30,0
2020-08-08 11:36:40,0
2020-08-08 11:36:50,0
2020-08-08 11:37:00,0
2020-08-08 11:37:10,21
2020-08-08 11:37:20,30
2020-08-08 11:37:30,30
2020-08-08 11:37:40,30
2020-08-08 11:37:50,9
2020-08-08 11:38:00,33
2020-08-08 11:38:10,42
2020-08-08 11:38:20,9
2020-08-08 11:38:30,9
2020-08-08 11:38:40,18
2020-08-08 11:38:50,9
2020-08-08 11:39:00,0
2020-08-08 11:39:10,9
2020-08-08 11:39:20,0
2020-08-08 11:39:30,18
2020-08-08 11:39:40,78
2020-08-08 11:39:50,69
2020-08-08 11:40:00,0
2020-08-08 11:40:10,9
2020-08-08 11:40:20,18
2020-08-08 11:40:30,9
2020-08-08 11:40:40,0
2020-08-08 11:40:50,18
2020-08-08 11:41:00,27
2020-08-08 11:41:10,9
2020-08-08 11:41:20,0
2020-08-08 11:41:30,0
2020-08-08 11:41:40,0
2020-08-08 11:41:50,0
2020-08-08 11:42:00,0
2020-08-08 11:42:10,21
2020-08-08 11:42:20,42
2020-08-08 11:42:30,21
2020-08-08 11:42:40,9
2020-08-08 11:42:50,9
2020-08-08 11:43:00,0
2020-08-08 11:43:10,0
2020-08-08 11:43:20,9
2020-08-08 11:43:30,9
2020-08-08 11:43:40,0
2020-08-08 11:43:50,30
2020-08-08 11:44:00,21
2020-08-08 11:44:10,0
2020-08-08 11:44:20,0
2020-08-08 11:44:30,0
2020-08-08 11:44:40,9
2020-08-08 11:44:50,9
2020-08-08 11:45:00,9
2020-08-08 11:45:10,9
2020-08-08 11:45:20,0
2020-08-08 11:45:30,0
2020-08-08 11:45:40,0
2020-08-08 11:45:50,0
2020-08-08 11:46:00,0
2020-08-08 11:46:10,0
2020-08-08 11:46:20,9
2020-08-08 11:46:30,9
2020-08-08 11:46:40,0
2020-08-08 11:46:50,0
2020-08-08 11:47:00,0
2020-08-08 11:47:10,0
2020-08-08 11:47:20,9
2020-08-08 11:47:30,9
2020-08-08 11:47:40,0
2020-08-08 11:47:50,9
2020-08-08 11:48:00,9
2020-08-08 11:48:10,9
2020-08-08 11:48:20,30
2020-08-08 11:48:30,0
2020-08-08 11:48:40,0
2020-08-08 11:48:50,0
2020-08-08 11:49:00,0
2020-08-08 11:49:10,0
2020-08-08 11:49:20,0
2020-08-08 11:49:30,9
2020-08-08 11:49:40,0
2020-08-08 11:49:50,0
2020-08-08 11:50:00,0
2020-08-08 11:50:10,0
2020-08-08 11:50:20,0
2020-08-08 11:50:30,0
2020-08-08 11:50:40,0
2020-08-08 11:50:50,0
2020-08-08 11:51:00,0
2020-08-08 11:51:10,9
2020-08-08 11:51:20,9
2020-08-08 11:51:30,0
2020-08-08 11:51:40,21
2020-08-08 11:51:50,0
2020-08-08 11:52:00,0
2020-08-08 11:52:10,9
2020-08-08 11:52:20,9
2020-08-08 11:52:30,9
2020-08-08 11:52:40,0
2020-08-08 11:52:50,0
2020-08-08 11:53:00,0
2020-08-08 11:53:10,9
2020-08-08 11:53:20,18
2020-08-08 11:53:30,30
2020-08-08 11:53:40,21
2020-08-08 11:53:50,30
2020-08-08 11:54:00,39
2020-08-08 11:54:10,60
2020-08-08 11:54:20,72
2020-08-08 11:54:30,21
2020-08-08 11:54:40,9
2020-08-08 11:54:50,18
2020-08-08 11:55:00,18
2020-08-08 11:55:10,0
2020-08-08 11:55:20,9
2020-08-08 11:55:30,0
2020-08-08 11:55:40,0
2020-08-08 11:55:50,0
2020-08-08 11:56:00,0
2020-08-08 11:56:10,0
2020-08-08 11:56:20,0
2020-08-08 11:56:30,9
2020-08-08 11:56:40,9
2020-08-08 11:56:50,0
2020-08-08 11:57:00,0
2020-08-08 11:57:10,0
2020-08-08 11:57:20,18
2020-08-08 11:57:30,9
2020-08-08 11:57:40,0
2020-08-08 11:57:50,0
2020-08-08 11:58:00,0
2020-08-08 11:58:10,9
2020-08-08 11:58:20,0
2020-08-08 11:58:30,0
2020-08-08 11:58:40,0
2020-08-08 11:58:50,0
2020-08-08 11:59:00,9
2020-08-08 11:59:10,9
2020-08-08 11:59:20,0
2020-08-08 11:59:30,0
2020-08-08 11:59:40,0
2020-08-08 11:59:50,0
2020-08-08 12:00:00,0
2020-08-08 12:00:10,0
2020-08-08 12:00:20,0
2020-08-08 12:00:30,0
2020-08-08 12:00:40,0
2020-08-08 12:00:50,0
2020-08-08 12:01:00,0
2020-08-08 12:01:10,0
2020-08-08 12:01:20,0
2020-08-08 12:01:30,0
2020-08-08 12:01:40,9
2020-08-08 12:01:50,9
2020-08-08 12:02:00,0
2020-08-08 12:02:10,0
2020-08-08 12:02:20,0
2020-08-08 12:02:30,9
2020-08-08 12:02:40,9
2020-08-08 12:02:50,0
2020-08-08 12:03:00,9
2020-08-08 12:03:10,18
2020-08-08 12:03:20,9
2020-08-08 12:03:30,0
2020-08-08 12:03:40,0
2020-08-08 12:03:50,0
2020-08-08 12:04:00,0
2020-08-08 12:04:10,0
2020-08-08 12:04:20,57
2020-08-08 12:04:30,57
2020-08-08 12:04:40,0
2020-08-08 12:04:50,9
2020-08-08 12:05:00,9
2020-08-08 12:05:10,0
2020-08-08 12:05:20,0
2020-08-08 12:05:30,0
2020-08-08 12:05:40,0
2020-08-08 12:05:50,9
2020-08-08 12:06:00,0
2020-08-08 12:06:10,9
2020-08-08 12:06:20,9
2020-08-08 12:06:30,0
2020-08-08 12:06:40,0
2020-08-08 12:06:50,0
2020-08-08 12:07:00,9
2020-08-08 12:07:10,9
2020-08-08 12:07:20,0
2020-08-08 12:07:30,0
2020-08-08 12:07:40,0
2020-08-08 12:07:50,0
2020-08-08 12:08:00,0
2020-08-08 12:08:10,0
2020-08-08 12:08:20,0
2020-08-08 12:08:30,0
2020-08-08 12:08:40,0
2020-08-08 12:08:50,0
2020-08-08 12:09:00,0
2020-08-08 12:09:10,0
2020-08-08 12:09:20,0
2020-08-08 12:09:30,0
2020-08-08 12:09:40,0
2020-08-08 12:09:50,0
2020-08-08 12:10:00,0
2020-08-08 12:10:10,0
2020-08-08 12:10:20,0
2020-08-08 12:10:30,0
2020-08-08 12:10:40,0
2020-08-08 12:10:50,0
2020-08-08 12:11:00,0
2020-08-08 12:11:10,0
2020-08-08 12:11:20,0
2020-08-08 12:11:30,0
2020-08-08 12:11:40,0
2020-08-08 12:11:50,0
2020-08-08 12:12:00,0
2020-08-08 12:12:10,0
2020-08-08 12:12:20,0
2020-08-08 12:12:30,9
2020-08-08 12:12:40,39
2020-08-08 12:12:50,9
2020-08-08 12:13:00,0
2020-08-08 12:13:10,0
2020-08-08 12:13:20,0
2020-08-08 12:13:30,0
2020-08-08 12:13:40,0
2020-08-08 12:13:50,0
2020-08-08 12:14:00,0
2020-08-08 12:14:10,0
2020-08-08 12:14:20,0
2020-08-08 12:14:30,0
2020-08-08 12:14:40,0
2020-08-08 12:14:50,0
2020-08-08 12:15:00,0
2020-08-08 12:15:10,0
2020-08-08 12:15:20,0
2020-08-08 12:15:30,0
2020-08-08 12:15:40,0
2020-08-08 12:15:50,0
2020-08-08 12:16:00,0
2020-08-08 12:16:10,0
2020-08-08 12:16:20,0
2020-08-08 12:16:30,0
2020-08-08 12:16:40,0
2020-08-08 12:16:50,0
2020-08-08 12:17:00,0
2020-08-08 12:17:10,0
2020-08-08 12:17:20,0
2020-08-08 12:17:30,9
2020-08-08 12:17:40,9
2020-08-08 12:17:50,0
2020-08-08 12:18:00,0
2020-08-08 12:18:10,0
2020-08-08 12:18:20,0
2020-08-08 12:18:30,9
2020-08-08 12:18:40,0
2020-08-08 12:18:50,0
2020-08-08 12:19:00,0
2020-08-08 12:19:10,0
2020-08-08 12:19:20,0
2020-08-08 12:19:30,0
2020-08-08 12:19:40,0
2020-08-08 12:19:50,0
2020-08-08 12:20:00,0
2020-08-08 12:20:10,0
2020-08-08 12:20:20,0
2020-08-08 12:20:30,0
2020-08-08 12:20:40,0
2020-08-08 12:20:50,0
2020-08-08 12:21:00,0
2020-08-08 12:21:10,0
2020-08-08 12:21:20,0
2020-08-08 12:21:30,0
2020-08-08 12:21:40,0
2020-08-08 12:21:50,0
2020-08-08 12:22:00,0
2020-08-08 12:22:10,0
2020-08-08 12:22:20,0
2020-08-08 12:22:30,0
2020-08-08 12:22:40,0
2020-08-08 12:22:50,0
2020-08-08 12:23:00,0
2020-08-08 12:23:10,0
2020-08-08 12:23:20,0
2020-08-08 12:23:30,0
2020-08-08 12:23:40,0
2020-08-08 12:23:50,0
2020-08-08 12:24:00,21
2020-08-08 12:24:10,54
2020-08-08 12:24:20,33
2020-08-08 12:24:30,114
2020-08-08 12:24:40,9
2020-08-08 12:24:50,30
2020-08-08 12:25:00,18
2020-08-08 12:25:10,27
2020-08-08 12:25:20,36
2020-08-08 12:25:30,99
2020-08-08 12:25:40,90
2020-08-08 12:25:50,18
2020-08-08 12:26:00,36
2020-08-08 12:26:10,279
2020-08-08 12:26:20,135
2020-08-08 12:26:30,117
2020-08-08 12:26:40,87
2020-08-08 12:26:50,45
2020-08-08 12:27:00,159
2020-08-08 12:27:10,84
2020-08-08 12:27:20,51
2020-08-08 12:27:30,18
2020-08-08 12:27:40,39
2020-08-08 12:27:50,51
2020-08-08 12:28:00,18
2020-08-08 12:28:10,36
2020-08-08 12:28:20,27
2020-08-08 12:28:30,120
2020-08-08 12:28:40,120
2020-08-08 12:28:50,81
2020-08-08 12:29:00,30
2020-08-08 12:29:10,21
2020-08-08 12:29:20,63
2020-08-08 12:29:30,42
2020-08-08 12:29:40,0
2020-08-08 12:29:50,0
2020-08-08 12:30:00,0
2020-08-08 12:30:10,9
2020-08-08 12:30:20,9
2020-08-08 12:30:30,0
2020-08-08 12:30:40,9
2020-08-08 12:30:50,18
2020-08-08 12:31:00,27
2020-08-08 12:31:10,72
2020-08-08 12:31:20,72
2020-08-08 12:31:30,18
2020-08-08 12:31:40,9
2020-08-08 12:31:50,9
2020-08-08 12:32:00,9
2020-08-08 12:32:10,30
2020-08-08 12:32:20,30
2020-08-08 12:32:30,0
2020-08-08 12:32:40,33
2020-08-08 12:32:50,42
2020-08-08 12:33:00,9
2020-08-08 12:33:10,0
2020-08-08 12:33:20,0
2020-08-08 12:33:30,9
2020-08-08 12:33:40,9
2020-08-08 12:33:50,0
2020-08-08 12:34:00,0
2020-08-08 12:34:10,0
2020-08-08 12:34:20,0
2020-08-08 12:34:30,33
2020-08-08 12:34:40,0
2020-08-08 12:34:50,0
2020-08-08 12:35:00,0
2020-08-08 12:35:10,0
2020-08-08 12:35:20,0
2020-08-08 12:35:30,0
2020-08-08 12:35:40,0
2020-08-08 12:35:50,0
2020-08-08 12:36:00,0
2020-08-08 12:36:10,0
2020-08-08 12:36:20,0
2020-08-08 12:36:30,0
2020-08-08 12:36:40,0
2020-08-08 12:36:50,0
2020-08-08 12:37:00,0
2020-08-08 12:37:10,0
2020-08-08 12:37:20,0
2020-08-08 12:37:30,0
2020-08-08 12:37:40,0
2020-08-08 12:37:50,75
2020-08-08 12:38:00,132
2020-08-08 12:38:10,150
2020-08-08 12:38:20,9
2020-08-08 12:38:30,0
2020-08-08 12:38:40,9
2020-08-08 12:38:50,42
2020-08-08 12:39:00,54
2020-08-08 12:39:10,21
2020-08-08 12:39:20,30
2020-08-08 12:39:30,63
2020-08-08 12:39:40,108
2020-08-08 12:39:50,30
2020-08-08 12:40:00,72
2020-08-08 12:40:10,30
2020-08-08 12:40:20,39
2020-08-08 12:40:30,72
2020-08-08 12:40:40,51
2020-08-08 12:40:50,39
2020-08-08 12:41:00,204
2020-08-08 12:41:10,177
2020-08-08 12:41:20,111
2020-08-08 12:41:30,219
2020-08-08 12:41:40,111
2020-08-08 12:41:50,255
2020-08-08 12:42:00,237
2020-08-08 12:42:10,426
2020-08-08 12:42:20,258
2020-08-08 12:42:30,27
2020-08-08 12:42:40,18
2020-08-08 12:42:50,9
2020-08-08 12:43:00,51
2020-08-08 12:43:10,90
2020-08-08 12:43:20,48
2020-08-08 12:43:30,96
2020-08-08 12:43:40,117
2020-08-08 12:43:50,48
2020-08-08 12:44:00,75
2020-08-08 12:44:10,84
2020-08-08 12:44:20,144
2020-08-08 12:44:30,105
2020-08-08 12:44:40,30
2020-08-08 12:44:50,39
2020-08-08 12:45:00,18
2020-08-08 12:45:10,9
2020-08-08 12:45:20,18
2020-08-08 12:45:30,18
2020-08-08 12:45:40,45
2020-08-08 12:45:50,66
2020-08-08 12:46:00,0
2020-08-08 12:46:10,9
2020-08-08 12:46:20,9
2020-08-08 12:46:30,0
2020-08-08 12:46:40,102
2020-08-08 12:46:50,126
2020-08-08 12:47:00,51
2020-08-08 12:47:10,18
2020-08-08 12:47:20,9
2020-08-08 12:47:30,9
2020-08-08 12:47:40,21
2020-08-08 12:47:50,9
2020-08-08 12:48:00,0
2020-08-08 12:48:10,0
2020-08-08 12:48:20,9
2020-08-08 12:48:30,18
2020-08-08 12:48:40,9
2020-08-08 12:48:50,0
2020-08-08 12:49:00,0
2020-08-08 12:49:10,0
2020-08-08 12:49:20,0
2020-08-08 12:49:30,0
2020-08-08 12:49:40,0
2020-08-08 12:49:50,0
2020-08-08 12:50:00,0
2020-08-08 12:50:10,0
2020-08-08 12:50:20,0
2020-08-08 12:50:30,0
2020-08-08 12:50:40,0
2020-08-08 12:50:50,0
2020-08-08 12:51:00,0
2020-08-08 12:51:10,0
2020-08-08 12:51:20,0
2020-08-08 12:51:30,0
2020-08-08 12:51:40,0
2020-08-08 12:51:50,0
2020-08-08 12:52:00,0
2020-08-08 12:52:10,9
2020-08-08 12:52:20,0
2020-08-08 12:52:30,0
2020-08-08 12:52:40,0
2020-08-08 12:52:50,0
2020-08-08 12:53:00,0
2020-08-08 12:53:10,0
2020-08-08 12:53:20,0
2020-08-08 12:53:30,0
2020-08-08 12:53:40,0
2020-08-08 12:53:50,0
2020-08-08 12:54:00,0
2020-08-08 12:54:10,0
2020-08-08 12:54:20,0
2020-08-08 12:54:30,0
2020-08-08 12:54:40,9
2020-08-08 12:54:50,9
2020-08-08 12:55:00,9
2020-08-08 12:55:10,18
2020-08-08 12:55:20,36
2020-08-08 12:55:30,27
2020-08-08 12:55:40,9
2020-08-08 12:55:50,9
2020-08-08 12:56:00,30
2020-08-08 12:56:10,0
2020-08-08 12:56:20,138
2020-08-08 12:56:30,84
2020-08-08 12:56:40,147
2020-08-08 12:56:50,147
2020-08-08 12:57:00,114
2020-08-08 12:57:10,162
2020-08-08 12:57:20,126
2020-08-08 12:57:30,60
2020-08-08 12:57:40,93
2020-08-08 12:57:50,96
2020-08-08 12:58:00,126
2020-08-08 12:58:10,117
2020-08-08 12:58:20,30
2020-08-08 12:58:30,30
2020-08-08 12:58:40,21
2020-08-08 12:58:50,30
2020-08-08 12:59:00,30
2020-08-08 12:59:10,39
2020-08-08 12:59:20,63
2020-08-08 12:59:30,120
2020-08-08 12:59:40,48
2020-08-08 12:59:50,84
2020-08-08 13:00:00,30
2020-08-08 13:00:10,0
2020-08-08 13:00:20,9
2020-08-08 13:00:30,102
2020-08-08 13:00:40,123
2020-08-08 13:00:50,63
2020-08-08 13:01:00,42
2020-08-08 13:01:10,0
2020-08-08 13:01:20,9
2020-08-08 13:01:30,36
2020-08-08 13:01:40,27
2020-08-08 13:01:50,0
2020-08-08 13:02:00,0
2020-08-08 13:02:10,0
2020-08-08 13:02:20,0
2020-08-08 13:02:30,0
2020-08-08 13:02:40,0
2020-08-08 13:02:50,0
2020-08-08 13:03:00,9
2020-08-08 13:03:10,9
2020-08-08 13:03:20,0
2020-08-08 13:03:30,21
2020-08-08 13:03:40,30
2020-08-08 13:03:50,66
2020-08-08 13:04:00,57
2020-08-08 13:04:10,0
2020-08-08 13:04:20,0
2020-08-08 13:04:30,0
2020-08-08 13:04:40,0
2020-08-08 13:04:50,0
2020-08-08 13:05:00,9
